id,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms,beds,amenities_count,price,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,host_is_superhost,instant_bookable,high_price_listing
966804975015094309,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,11,39.0,362,4.45,22,0.87,0.0,1,0
974482919527905358,ΚΟΛΟΚΥΝΘΟΥ,Entire home/apt,Entire condo,3,1.0,1.0,1.0,44,39.0,347,4.96,26,1.06,1.0,1,0
1031107307292359069,ΣΕΠΟΛΙΑ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,46,39.0,135,4.89,18,0.82,1.0,0,0
1073835403492368901,ΚΟΛΩΝΑΚΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,0.0,45,39.0,329,4.84,31,1.6,,0,0
1102845516902103109,ΓΚΥΖΗ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,45,39.0,335,4.82,11,0.58,0.0,1,0
1110932866418695294,ΕΛΛΗΝΟΡΩΣΩΝ,Private room,Private room in rental unit,2,1.0,1.0,1.0,44,39.0,83,,0,,0.0,0,0
1125981706209596946,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,36,39.0,75,4.9,21,1.19,1.0,1,0
1135637378417208440,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire home,2,1.0,1.0,1.0,34,39.0,31,4.6,67,3.86,0.0,1,0
1146812786521429643,ΘΗΣΕΙΟ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,6,39.0,342,4.21,42,2.69,0.0,1,0
1157815131000305833,ΚΥΨΕΛΗ,Entire home/apt,Entire rental unit,2,1.0,1.0,0.0,26,39.0,246,4.89,9,0.56,0.0,1,0
1170228805053030498,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,0.0,40,39.0,334,4.96,125,7.89,1.0,0,0
1171851396443190815,ΠΑΤΗΣΙΑ,Entire home/apt,Entire rental unit,6,2.0,1.0,4.0,19,39.0,348,4.72,25,1.58,0.0,0,0
1176038928889435721,ΚΥΨΕΛΗ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,37,39.0,246,4.38,8,0.57,0.0,1,0
1185292671610920526,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,6,39.0,363,,0,,0.0,0,0
1189126401357633726,ΝΙΡΒΑΝΑ,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,20,39.0,317,4.88,8,0.54,1.0,1,0
1192681492128810051,ΝΙΡΒΑΝΑ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,26,39.0,256,4.75,8,0.64,0.0,1,0
1204174122209733138,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,Entire condo,4,1.0,1.0,2.0,40,39.0,244,4.88,51,3.66,1.0,1,0
1214207122301830727,ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,28,39.0,290,,0,,0.0,1,0
1217459260532074981,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire home,2,1.0,1.0,1.0,51,39.0,337,4.56,34,2.66,0.0,1,0
1258073302978303743,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,38,39.0,198,,0,,1.0,1,0
1259496306634180560,ΛΥΚΑΒΗΤΤΟΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,29,39.0,74,4.5,14,1.19,0.0,1,0
1259861097545924976,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,35,39.0,293,4.69,13,1.2,0.0,0,0
1269304063047980617,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,20,39.0,30,4.41,22,1.99,0.0,1,0
1269336065340518116,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,22,39.0,25,4.29,17,1.55,0.0,1,0
1269427259958767626,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,19,39.0,31,4.17,18,2.28,0.0,1,0
1269434168124906348,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,22,39.0,25,4.52,23,2.89,0.0,1,0
1270070397366141293,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,22,39.0,25,4.3,27,3.27,0.0,1,0
1270075198972352664,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,20,39.0,34,4.05,21,2.65,0.0,1,0
1270096183117392578,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,20,39.0,33,4.21,14,1.79,0.0,1,0
1270923522133442509,ΠΑΤΗΣΙΑ,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,21,39.0,337,4.82,11,0.98,0.0,0,0
1271125137989565065,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,21,39.0,357,4.91,43,3.85,0.0,1,0
1282541868146795318,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,Entire rental unit,4,2.0,1.0,2.0,40,39.0,291,4.45,11,3.2,0.0,1,0
1291748930113133203,ΚΟΛΩΝΑΚΙ,Entire home/apt,Entire home,2,1.0,1.0,2.0,27,39.0,156,4.83,12,1.61,0.0,0,0
1295659192582194295,ΝΙΡΒΑΝΑ,Private room,Private room in rental unit,1,1.0,1.0,1.0,18,39.0,89,,0,,0.0,0,0
1382449566218759892,ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,Entire condo,4,1.0,1.0,2.0,33,39.0,123,5.0,4,0.69,0.0,1,0
1392009670204038368,ΚΟΛΟΚΥΝΘΟΥ,Entire home/apt,Entire rental unit,4,2.0,1.0,1.0,9,39.0,352,4.71,7,1.98,,1,0
1416703043203354785,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,25,39.0,358,5.0,1,0.29,0.0,1,0
